Replies_subject,relation,Replies_object
something,be little off in,design
taz,use,that
problem,is with,unconstraiend far end
tube,ends up,acting as rod height
fixed floating approach,is with,anti wobble device
12 mm bearing holder folders,are,marked
answer966,downloaded,bearing holders
answer966,downloaded bearing holders from,folder
answer966,downloaded from,http://download.lulzbot.com/taz/6.0/pro
fillament,acts as,rope saw
user967,get,notch worn into side
user967,have,drillpress
v2,basically omits,side tension screw
guide,so will show,process https://ohai.lulzbot.com/project/flexystruder_assembly/
v2,has,hexagon nozzle
v1 assembly,are,same
answer968,getting,ready
whole unit,will,will nearly 72 inches tall
answer968,otherwise will use dowels with,contrasting color
answer968,otherwise will use,dowels
fronts,are,undecided
2 3ft sections,left,3 sheets of birch plywood 3/4 of one sheet
886,is,unusual high
most users,report,values
100 mm filament,measuring,delta length
fine tuning,printing,flat 20 mm calibration cubes
fine tuning,is,done
gaps,increase,esteps
thanks,has,good
http://www.thingiverse.com/thing:15087 scratches,match,layout of print
anyone,is,curious
answer970,have thoroughly cleaned,nozzle
stl,was loaded into,cura lulzbot edition
stl,generate,gcode
stl,was,loaded
body,changed,your end-gcode
user971,can find,that in expert settings
user971,find,ones for my mini
positions,are,slightly different
answer972,did on,my taz 2.1
taz 5 y bed,is almost identical to,3 bed
taz 5 y bed,is,almost identical
jigs,would,would same though
front,does hang off,front of table
answer975,access,insides
ninja,quit though,bit
anything,colder gets jammed up,few layers
answer976,'m,happy with
ooze guard,results in,small particles
particles,is in,model
answer976,finally increased,retraction
answer976,finally increased retraction to,40
that,has,my next tweak
answer976,should look,slic3r
people,say,good things about it
sloppy ninja side,is near,ninja seem
abs particles,are about,t0 nozel distance
ninja,likes,ooze
ooze guard,keeping away from,print
ooze guard,helps,keeping
model,is to,basically parts
pics,show,three revisions
110c setting,was,used
ao-101,different setting of,85c
different setting,having,different bed
taz,is in,manual
taz 6 automatic bed leveling feature,will,will indeed compatible with v2 dual extruders
end user,can raise/lower,front hot end
dual extruder,getting now,them
dual extruder,is,recommended
dual extruder,is recommended for,advanced/expert users
answer979,could slide,polycarbonate panel
answer979,could slide polycarbonate panel through,slot
idea,expose,channel
corner brackets,replace,upper face
polycarb,slide closely over,bracket
flat head machine screw,allow,polycarb
answer979,'ll fill gaps at,point
answer979,'ll fill,gaps
gaps,keep,drafts
gaps,keep drafts under,control of vent on side
answer981,dampener on,my tax 5 y axis
everyone,compensate for,dampener
everyone,does move,pulley
customer,pay,return shipping
part,was,damaged
answer982,fight,them
answer982,have,new in box functional printer sent to my house
lulzbot customer support,is absolutely fantastic in,general
lulzbot customer support,is,fantastic
user983,running,burnin gcode file
user983,running burnin gcode file in,calibration
answer983,have seen,printers
answer984,wow emailed,support
answer984,wow emailed support at_time,yesterday
z axis,was,way off from one side to other
answer984,got,z sides same
answer984,leveling again,sides
answer984,loosening,parts
threaded rod,is with,ninjaflex between them
that,fixed,that
z,is adjustable in,front panel
z,is,adjustable
everything,now seems,be working
everything,working,fine
answer984,am really beginning,appreciate
answer984,'m used to,mini
answer984,'m,used
answer984,am,happy camper now
edit,using,cura 17
answer986,leaning towards,towards box settings
answer986,putting on,new tool head
answer986,'ve had,success
success,doing,following
answer986,find,spool averages closer to 2.96 2
answer986,lean towards,.15 height
answer986,'ve printed in,past
answer986,still use,paper method
answer986,purchase,digital gauge
answer986,have,least confidence
user987,are,able
people,find,tube sweet spot
marlin,refers to,project name of particular branch of arduino firmware
derivative,is in,turn
user987,sometimes see,marlin/sprinter
user987,edit,settings
user987,use,arduino ide
user987,build,your own version
user987,would want,change
user987,hit,compile button
user987,can hit,upload
user987,lose,power
user987,lose power,it finishes
answer987,having,printer
answer987,having printer on,good stout ups
style ones,are,part numbers
user988,get,them
user989,definitely want,print
user989,can still getting,extrusion
user989,print at,temp
hips,is,bit finicky
answer989,print layers at,110
user989,go,you can experiment with that
user989,can also play with,your fan speed
%,works with,hips
user989,also seem on,side note
user989,might check out,post viewtopic.php?f
answer990,so take with,grain of salt
answer990,'m,still fairly new
answer990,'m still fairly new to,world
looking,might,might areas of overhang
cooling,adhere to,common warnings
answer990,'ve had,success with pla
will your z height,being,close
user991,are seeing in,your first layer
back pressure,is in,nozzle
pressure,builds to,critical in about same locations
answer992,dont think,its really worth
everything,is,minor quality
everything,is minor quality of,life improvements
taz,is,machine
taz,is,better
taz,is machine out of,box
dont,get,me wrong
new buyers,should obviously spring for,6
user992,could upgrade,your taz 5
everything,is,something
user993,modify,your start gcode
your start gcode,move,head
your start gcode,move head to,right
wiring,is,easy as long
answer994,however currently 've only seen due to,poor insulation of acrylic cabinet
electronics,should,should happy
answer994,have,exhaust fan mod standing
sqaure,wrote in,accordance
016_rc.pdf,are,solidworks
stl files,probably have,rotated to print
answer995,created from,drawings
parts,are,not symmetrical
user995,thank,you
user995,uploading,them
problem,transfers to,y motor
user996,have pin,issue remains with x axis
second,is,pin 3
magnet coil,is in,opposition to other one
harness,attaches to,rambo
harness,attaches to,etc. 2
user996,have,wire issue on wire harness 4
user996,have,physical wire issue
user996,have,bad motor controller on rambo board itself
your printer,is,actually haunted
motors,are,broken
user996,swapping in,them
common problem,is with,most slicers available
that,has,common
slicer,is,development version
small details,is with,perfection
merged model,uses,e0 filament settings
answer998,gaps between,perimiter
answer998,using,gcode
retraction commands,match,calibration test print
answer998,gaps in,places
answer998,maybe can hand-roll,cura profile
folks,do use profiles for,kind of customisation
folks,do use,profiles
your single extruder prints,will,with dual extruder will typically slightly slower
dual extruder,also exerts,more torque force
answer1000,doing,exactly this
answer1000,read up on,ninja flex extruder upgrade
answer1000,only do,minimal ninja flex
your bed,is,leveled
answer1002,got,personally tired
your bed,is,level
dial,is in,you
user1002,squish,that
quarter,turn,clockwise
answer1002,personally calibrate z-height by,sight
answer1002,personally calibrate,z-height
z end stop,thus lowering,nozzle
z end stop,printing,few lines
tracking center,is,thinner
tracking center,is thinner than,edges
user1002,have,tracking
user1002,once achieve,this
answer1002,sand,my pei with 2000 grit sand paper
user1003,are printing,something
dissolvable support,is,generally more
dissolvable support,generally is more of,pain
flexistruder wear part,is,ptfe tube liner
user1003,drill face out with,larger drill
user1003,put in,new section of tubing
user1003,drill out,face
user1003,get,good results
mcmaster carr,has,bits
daily printing,is with,solid fillament
user1004,do clean,ends
heater core,destroying,your hot end
user1004,can use,scotchbrite pad
user1004,can use scotchbrite pad with,nozzle heated slightly
people,use,internal cleaning fillament
answer1004,think,its generally waste of money
one,how often should replace pei sheet on,hot bed
one,how often should replace,pei sheet
user1004,putting,too much upward force on parts
user1004,removing,them
user1004,change to,better part removal tool
user1004,need,change
caphalon gadgets cheese wedge,is with,slicer bit taped over works great for that
user1004,do have,large bubble
user1004,placing,entire bed assembly in freezer
user1004,using,something like goof
3 times,is with,glass cleaner
pei sheet,does have,two different surface profiles
user1004,apply periodically,white lithium grease
user1004,check periodically,setscrews
z motor couplers,setscews on,x pulleys
z motor couplers,setscrew on,extruder
user1005,'re using,defaults in lulzbot cura
first layer settings,is in,advanced mode
filament diameter,is,accurate
standard glue,stick off,pei bed
waiting,is,critical part
glue,will thicken up into,gel in water
answer1006,getting,bed wet
pie plate,is in,oven
controller,switches,heater
controller,switches heater,gone
user1007,have multimeter at,hand !?
answer1007,guess in,maker space
user1007,have,multimeter
user1007,penetrate,insulation of wires
connectors,disconnected from,controller
user1007,can measure,resistance in heat bed
thermistor,should around,should 100kohms at room temperature
needle,here gets,handy
user1007,measure,that
user1007,have,iron
thermistor,can,can repaired
heat bed,is,burned
might,do,modification to block
thingiverse.com pages,are,currently most compete
costs,end up,pounds of plastic total
answer1010,am working on,better installation documentation
answer1010,need,one more leadscrew nut
answer1010,can finish,second frame
ill,be,happy
your taz,will,will absolutely upgradeable
our first one,left,line
forum user,built,their taz 6
leveling,have,have enough
viewtopic.php?t,0,3100
customers,implement,different versions of automatic bed
taz 3,used,buddaschnozzle 2.0 c
1.3 nozzle woould,have,have present on earliest ao-100 's
c nozzle,looks like,this
https://itworks3d.com/product/lulzbot-b d-taz-1-4,is with,aluminum fins on barrel
1.3 nozzle,has,copper dome
copper dome,looking there instead,thing
user1013,can probably push around,them
print head position,does get out of,alignment
nilnek,does,part shift
bed,on shift is,poor adhesion
piercet,to,response
mini,has,hotend
your current extruder,mount at,expense of additional work
user1015,change between,standard prints
user1015,want,change
print profiles,are built into,cura lulzbot edition
print profiles,are,built
version,supports,three different lulzbot 3d printers
tool head permutations,is with,30 different filaments
each,has,at least one different quickprint profile
latest tested quickprint profiles,checking,lulzbot.com/cura
user1016,'d like,see
part,is,called
part,is called,idler
part,is,latch
linked directories,work fine for,taz 5
answer1018,would check,bearings
bearings,make,sure
user1018,might also consider,alternative motion axis like openbuilds
answer1018,will have,do
answer1018,do,that
answer1018,could,could littl over extrusion also
axis,is,when activated
axis,are,when ever are used
speeds,will produce,sounds
answer1019,would suspect,loose screw
user1019,adding,astrosyn dampers
user1019,adding astrosyn dampers to,x axis
borosilicate glass,is,difficult
good news,is,well glass
glass,is,covered
user1020,otherwise 'll leave,low spot in pei
fine grit,is,recommended
keys,is,slight angle
offsets,handle from,spatula blade
user1020,work around,object
its,remove,parts
its,remove parts at,bed temps lower than 60c
50c,is good for,most materials
z-offset setting,is in,your slicer
that,'s for,typically abs
method,depends on,material
layer,will lessen,adhesion
pei,is,better print surface
pei,is in,end
answer1021,was comparing to,longer e3d nozzles
thread,looks,same
anyone,transported around,their taz
all,is,adjustable
final few turns,is with,pliers
nozzle,do,final few turns
hand,get,new nozzle
user1022,use,crows foot adaptor
user1022,find,yourself
answer1022,regularly 'd absolutely recommend,e3d v6 nozzles
answer1023,send extruder in,in repair
answer1023,send,extruder
hotend fan,caused,heat creep jam
user1023,swap,nozzle
user1023,purchase,new hotend
pid tuning,made,huge difference
answer1024,am doing in,pla
answer1024,wanted fan for,print
answer1024,'ve found,that with fan set
fan,put values in,start script
fan,put,values
combo,volume of,filament
volume,can affect,combo
fan,was cranked to,1
answer1024,highly reccommend,pid tuning
answer1025,used,camera
user1025,take,closer look at my thermals
answer1025,know for,sure
my unit,is,bad seed
answer1025,probably start,looking for aluminum bed plate
answer1025,do know,something
anything,can build,my taz
answer1026,can send off,laser cut sonic
ok,makes,sense
answer1027,allows for,movement of bed
door,push,bed of way
user1027,go,way of switch
user1027,choose,go
y-min stop,is,middle-left
forums,later looking for,same answer
your retraction length,is,set
your retraction length,is set,too high
air,will come between,molten filament in heat chamber
air,gets,trapped
air,gets trapped as,bubbles in molten area
values,should,should enough
answer1031,'m using,current version of cura
everything,is,mounted to on fdv2 just above large metal bracket/mount
answer1031,seem,need
everything,is mounted to,to fdv2
screw,is,when adjusted
blower ducts,is,also used
bracket,looks,different
lulzbot,support email on,sunday morning
lulzbot,support,email
that,has,nuts
answer1032,need,turn
second,looks,i need
filament,conducts,heat
answer1033,design shrouds,use
answer1033,design,shrouds
viewtopic.php?f,0,t
difference,is,cooling
user1034,replace,extruder
thermistor,will fail above,that
reduction,is in,curve
reduction,is in,flow
answer1034,'m wondering,polish
thermal camera,seems,think
user1034,make,firmware changes
user1034,print,different layer fan duct
extruder,sits,lower than hex
answer1034,design,washer sit
answer1034,can post stl,you want
user1034,replace,aluminum
user1034,can print,bracket
answer1034,am,very impressed
answer1034,am very impressed with,their extruder cooling design
temp,is limited to,290-295
temp,is,limited to 290-295 on e3d
answer1034,rerun,optimization for hot end
h file,was,already set
answer1034,'m,sure
.1 mm sag,is in,x
answer1034,am just running,my first print
answer1034,am,so happy
answer1034,get,chance
answer1034,post here,thread
answer1034,will post,stl
coil,damaged,itself
user1035,can see,coil pattern
wires,are on,right
issues,are,difficult
issues,is with,overhangs
user1036,'re printing on,air
right extrusion temp,cooling mix,ensure
answer1036,'m,avid
cooling,slowing down,print
cooling,should,for instance should less
lower extrusion temp,could benefit from,less cooling
answer1037,use,cheap radio shack soldering iron
tips,are,composed
thin layer,off will ruin,your iron for normal soldering
user1037,can purchase,tip cleaner
answer1038,am,curious
answer1038,am curious about,e1
answer1038,am curious about,second hot end
hexagon hot end,for extruder is,e0
answer1039,am having,same issue
answer1039,have made,gcode
re-print,is with,actual program sending
answer1039,have formatted,my sd card
answer1039,waiting till,friday
answer1039,made,one called
folder,_,print
flexydually,establish,nozzle height
answer1040,fiddling with,dual extruder v2
actions,for tool0 is,back extruder
user1040,once can slip,business card
user1040,level,tool1
user1040,can try at,point
answer1040,use,attached 20x20x5mm cube
's,do,print
bottom,should,should fairly smooth
level tool1,looks as,one printed on tool0
answer1040,can see,3 threads
nozzle,is,means
nozzle,is less means away from,farther bed
bed,is,level
answer1040,use calibration ring at_time,last tip
answer1040,use,calibration ring
corner,is,lower
dial,quantify,distance of corner
cool prints,is with,flexydually
either,have,stepper motor short
stepper motor electrical short,leads to,motor
answer1041,'d check,connectors
6,has,x maximum endstop
carriage,mount,guide socket
user1042,trim,some
user1042,can bore out,bolt hole
user1042,can send,me
user1042,can send,link
answer1043,clean,my nozzles
answer1043,use,blue scotch brite pad
extruded filament,should drop out of,straight nozzle
user1043,have,blockage
hotend temp,extruding,plastic
types,can,can sometimes cleared
answer1043,clear,orifice
answer1043,use,drill
answer1043,just heat,hotend
answer1043,printing,temps
answer1043,gently insert,bit
answer1044,used,machinist
machinist,measuring,gauges
contacts,is with,moisture
coupler,does on,so many other printers
user1045,actually use,different coupler type
motion,rotates,top
motion,works,its way
slinky,be,slight delay
small spring,is in,case of taz
motion,is,small
issues,is in,printers running
spider coupling,is,however more forgiving
spider coupling,is however more forgiving of,motor misallignment to shaft
hint,is in,regard
answer1045,'ll give,hint
answer1045,'ll give,you
answer1046,was printing,hollow cylinder
answer1046,was printing cylinder with,one end
stl file,was checked with,netfabb
stl file,was,checked
answer1046,can tell from,print
commands,increase z height after,first ~ 2 cm of model
g-code,seems,fine
line,is with,hotend bolts
print,was,supposed
answer1046,right left,room
printer,increasing in,z
anyone,has had,related issue
answer1047,turning off,motors
your fix,will reset,itself
piercet,is,therefore correct
answer1048,made,mine minimum sized enclosure
power supply,is on,outside on opposite side from electronics box
spool,gets off,track
spool,gets,too light towards end
design,has,look good
killacycle 's spoolholder,mod with,threaded rod
killacycle 's spoolholder,looks easier,mod
killacycle,has,spoolholder
spool,rests on,rods
different manufacturers,have unfortunately,different spool diameters
user1050,can purchase,hour meters of various voltages
will several inches,is in,rear
bed,hangs over,end of frame
user1051,using,hwd dimensions of unit
user1051,use dimensions in,cat guard tutorial
right hand side,lower during,printing
right hand side,seems,lower
answer1052,print,my first thing other
answer1052,quickly hit,stop
answer1052,was,able
hand side,was,4 mm
side,was,good
them,lined back up,axis
hand side,is,time lower than left
answer1052,start,new print
answer1052,find later,same issue
answer1053,'ve wanted,try for while
mm tolerences,should work for,3 mm filament
series,is with,heater loop right at cable connection point
middle,does tend,hotter on glass bed
aluminum bed,will heat more evenly to,edge
other issue,is,apparent hump
the,is,rods
your adhesion success,will,without modifications though will lower at edges than center
simple answer,run,fan
pretty,easy,do
complicated answer,replace,standard 24v 30 watt heater
user1055,need,pins
issue,is with,rods themselves
set,will find,something
answer1057,save,weeks
answer1057,save,you
user1057,lose,amount
user1057,significant amount of,stick
nothing,good amount of,sanding
answer1057,go over on,my long 15 hour prints
need,have,perfect bed adhesion
answer1057,lose more,stickiness
sand,clean with,ipa
answer1057,do,everything
answer1057,do everything by,visual sight
answer1057,print,line
answer1057,see,tracking
answer1057,slowly raise,z nut
user1057,doing at,center of your plate
answer1058,'m going,put onto my taz5
answer1058,remove heat inserts from,existing plastic components
answer1058,can keep,those intact in case
answer1058,need,go
answer1058,'m newbie with,heat inserts
answer1058,'m,newbie
answer1058,find,link to mcmaster carr
answer1058,should just get,short m3
user1058,did happen,know
my other idea,inspect,current parts
answer1059,am,new
answer1059,am experiencing,same problem
answer1059,have,stock taz5
marlin 2015q3,using,cura lulzbot edition 18.03 connected with usb cable to computer running windows7
printer,just finishing,long x-axis run
time,is in,y-axis
answer1059,checked,g-code
answer1059,reading forum at_time,today
answer1059,reading,forum
problem,has,has solved
anyone,can tell,me
version 18.04-67db,is in,http://download.lulzbot.com/software/cura/packages/
answer1059,should install,version of cura
cura lulzbot edition,is based on,ultimaker version
ultimaker,has,printbed
cura lulzbot edition,is,based
answer1060,have,similar problem with coupler on my mini
answer1060,was,able
portion,is,completely gone
top portion,is completely gone on,another
portion,is with,hex recess
ao,had,gorilla
installing,couplers at_time,day
answer1060,drill out,them
heat set inserts,tube for,flexystruders
openbuilds part store,has,openrails stuff
digikey,is,good
http://openbuilds.org/link-forums/part-store.39/ digikey,is,source
user1061,buy there,bag
user1061,need,more than few https://itworks3d.com/product/metric-br
development files,are named after,things as codenames
taz,be,named after trees in alphabetical order
taz,be named after,trees
latest taz 6 prototype,is,olive folder
user1062,will see production gcodes inside,various folders
user1062,will see,production gcodes
user1062,will see,ao
particular batch,be produced instead of,taz
batch,be,produced
particular batch,was,sliced
folder,may also have,different versions of stl file
one version,is,newer more refined revision
version,is,refined
file,is,pre
pre sliced stl file,is in,printer specific format
v2 body,was,strengthened
v2 body,was strengthened around,tube
hexagon,also has,smaller melt chamber
v2,has,provision for
pla leaks,needs,exorcist
off 4/12/16,through % is,use coupon code
answer1065,just upgraded cura to,18.04
problem,is with,windows version of cura apparently related
answer1065,just upgraded,cura
windows users,go,resolved
answer1066,might look on,site
answer1068,am looking for,scroll down menu item on lcd
user1068,extrude,going into cura
valleys,are,filled
valleys,are filled with,filament
your clamp tightness,make,sure
likely start,is with,cold pull
nozzle,soaked in,acetone
nozzle,can,can removed
answer1070,have got,agree
y,are,moved
my main complaint,is,weight
rods,are undersized,begin
rods,are,undersized
additional weight,causes,problems
weight,was,centered
piercet,has,openrail mod
answer1071,will eventually get,to
taz6,has,bigger rods
problem,is,bad
user1071,lift up on,front of head
heat sink,is,basis
heat,traveling up,filament
user1071,will see,you look
answer1071,added,second blower
answer1071,will share,my results
user1071,are planning on,printing
user1071,should,should ok
printing,is with,materials other than pla
anyone else,comes across,post
anyone else,has problem in,just case
answer1072,measure,distances between my two calibration squares
distances,punch,them
my new offset values,entering,those in i
calculator,provided by,lulzbot
idler bearing,is in,particular
user1073,'ll see symptom,seized
user1073,'ll see,symptom
could printet,is with,your nozzle
answer1074,would try,following
could printet,is in,one perimeter
user1074,invest,time
user1074,want to,experiment
user1074,might try,yes
curas spiralize feature,be,broken
upper part,merge manualy,gcode parts
user1075,could point,me
taz 4,is,2 year old printer model
taz,is,old
taz,is,year
chances,has,used printer
user1076,bought,5
user1076,are under,warranty
heat block,be sealed to,upper tube
heat block,be,sealed
heat block,using,high temperature blue threadlocker
yours,is,missing
upper tube,is,damaged
user1077,buying,used pre-done one
temperature threadlocker,is,about $ 45 per container so
leveling,going out of,level
bed,be,can couple things
bed,be,couple
small setscres,check,z motor couplers
setscres,cause,leadscrews
leadscrews,fail,turn
your verneir calipers,measure to,top of lower leadscrew bearing
distance,should,should exactly identical on sides
bed,corner of is,same distance
that,is,once correct
blue locktite,is,flammable
blue locktite,is flammable at,300c
batch,is with,shafts
most,were in,mini line
setscrews,are,loose
answer1079,readjusting,flow rate
answer1079,changed,first layer width
answer1079,changed layer width to,200 percent
answer1079,'m using,make shift enclosure
answer1079,'m using make shift enclosure,i get
've hot boxing,is with,cardboard box
answer1079,anyways 'm doing,everything
center,gets,hot
anyone else,has noticed,issue
answer1079,'ve already had,issues with natural filament discoloring for long prints
answer1079,like,120c
answer1079,should just turn up,my bed
only other idea,use,abs juice
issue,is with,pei
order,is in,in taz 5
in taz 5,thanks for,input
there,blasted,1/4 mic6 plate
there,seems in,makergear m2 world
great success,is with,surface
forum,member of been,has bead
answer1080,have,one
one member,is in,particular
answer1080,be,excited
extensive mod,is on,table
user1081,play with,washer positions
user1081,may need,play
user1082,got,vernier calipers
vernier calipers,measure,thickness
answer1082,'m,sure
user1082,flash,older firmware
firmware,be flashed on,on toolhead version
firmware,be,flashed
user1082,'ll most likely get,v2
lulzbot edition,has,good quickprint profiles
thinner layer height,will yield results in,general
best prints,choose,high detail radio button
nozzle diameter,is,high limit
nozzle diameter,typically is high limit for,layer height
0.4,is,reasonable
most folks,use,.3 layer heights
0.4,is reasonable for,.5 nozzle
nozzle diameter,is,better
smaller nozzle diameter,is better for,delicate intricate designs
user1082,printing,lattices
.5 nozzle,is fine for,practical parts around farm
.5 nozzle,is,fine
user1082,more get,wider extrusion
closerthe,thinner,squeeze
cura,will keep,last used settings
user1082,close,application
chart,is with,recommended bed temps for type of filament
lulzbot,has,chart
range,will,typically will marked on spool
answer1082,like for,esun abs
answer1082,using 245c extrusion temp for,layers
bed temp,vary,extrusion temp
that,just works best for,my print environment
user1082,'ll have,determine
user1083,mean,long guide tube
answer1083,thought,try
user1084,using,gcode
user1084,would have for,mini
user1084,execute,same function
answer1084,would find,100 mm calibration model
user1085,should reset,e values
user1085,starting,print
answer1086,got on,phone
answer1086,called,tech support
answer1086,tried,motor
answer1086,put back on,belt
support,shortly see,getting
40x40 fan,should increase,airflow
40x40 fan,should increase airflow,said
40x40 fan,should increase airflow over,oem blower
airflow,so wraps around,fins
duct,possibly part of,transition zone
duct,possibly part of,heat break
duct,capture,lowest part of heatsink
exhaust,decrease,backflow
consistent 3 mm,way to,heater block
jamming,keeping,filament solid
friction,rubbery to,liquid
more information,for ps is,prometheus hotend campaign
plastic,remains in,cold-zone
its glass transition temperature,is in,transition-zone
its,temperature,tm
transition-zone,in temperature is,tg
plastic,turns,soft
soft rubbery plastic,plug of is,leading cause
plug,is source of,friction in hot end
plug,is leading cause of,hot end jams
user1089,can replace,most expensive part on printer
answer1090,had,similar problem
answer1090,using,left side
rod,hits,stop
rod,hits stop on,your ruler
level,is with,metal plate now i would suggest
your x-axis,is,now level
user1090,should find,that
answer1091,apparently go to,full settings
answer1091,can tell,cura
same,is,driver chip
stepper motor,is with,same symptoms
steppers,use,fuse
fuse,would affect all,them
e1,works fine for,now
e1,works,fine
user1092,change over,firmware
pla,conducts,heat lot better than other materials
heat,better,lot
drive bolt,digs into,filament
user1093,are,done
contact area,is,tiny
contact area,is tiny by,apparently design
lulzbot tech support,explain,their design philosophy
answer1093,perhaps am misunderstanding,purpose of heatsink altogether
answer1093,saw,very minimal contact area
answer1093,did,two things
answer1093,have,things try
answer1093,have,breakthrough
answer1093,will certainly post on,forum
dual extruder v2,so came at_time,today
issue,is,fan ducts
duct,cools,hotends
options,printing filament types in,extruder
answer1094,have mixed,emotions
answer1094,have mixed emotions about,this
answer1094,have,utmost respect for lulzbot
folks,re-visit,duct design
folks,re-visit duct design for,extruder v2
answer1094,got too,mine
these,be run at,300 c
sebastian,has,link under his signature
quick answer,is,no
answer1097,ordered,v2
answer1097,plan,print
answer1097,ordered v2 for,now
answer1097,need for,flexstruder
common x-carriage,mount as,single extruder
answer1097,'d pre-assemble,sure
answer1097,wonder,i can do
user1097,want to,extrude filaments
extruder,can,can used
ptfe tube,replaces,idler
ptfe tube,serves as,guide for filament
cause,failure of,part
answer1098,look as,surge currents
answer1099,'m wondering about,thermal runaway issue
answer1099,working on,your dual fan mod
answer1099,just purchased,my taz
best,pch,revision from devel site
nozzle,is in,my signature
user1100,do did,tightening
nozzle,was,when hot
little,getting,used to
that,has,big
answer1101,'ve printed,hips
answer1101,'ve printed,abs
answer1101,once got,offset
user1101,get,one
high,apparently can cause,parts
parts,become far too well,stuck
answer1101,setting,software
answer1101,setting software to,to 60c works well
user1101,need,them
user1101,get,more
user1101,might,on taz might able
example,change colors rather than,materials
example,change,colors
answer1103,seeing,video comparison
lulzbot guys,reduce,noise
people,are also printing,them
pla,is with,apparently good results
hysteresis,is in,z-axis
wikipedia page,be,may as well written in mandarin
backlash,is,main cause
hysteresis,is,caused
user1103,have,backlash
hysteresis,is,type
user1103,command,x axis
user1103,command x axis,move to 190 mm
indicator,number,you get
high friction,is in,linear guides
difference,is in,measurement
difference,is,hysteresis
hysteresis,is general term,can apply
hysteresis,is,general term
answer1103,am,sure
buck converter,added to,my cart
etc,are,totally optional
answer1104,ordered from,china
answer1104,have,4
answer1104,was ordering,fan
answer1104,was ordering fan from,amazon
air,has,go through
answer1104,may use,hole saw
user1104,do,thanks
http://www.thingiverse.com/thing:1201229,uses,bondtech core
answer1106,'m working on,standard filliament version of it
answer1108,keep,tool head
same tool head,just replace,hot end
user1108,print,different parts
someone,doing,google-and-hope method
good call,is with,printing something fit
answer1109,'ll give,that
answer1109,thus leading to,better corner
answer1109,attempt,fix
answer1109,would adjust,acceleration
good information,searching,forum
good information,googling,terms
e-steps,relates to,stepper motors accuracy
motor,should perform,so you request
user1109,extrude,100 mm of filament
more accurate prints,slowing down,things
yep,'re on,track
toolhead,keep up with,requested movements
things,down allow,toolhead
answer1109,'m,impatient
answer1109,guess,said
answer1109,'m impatient,bit
answer1109,regularly print at,90mm/s
real key,is,ensure
speed settings,can,can found on advanced tab
answer1110,had,same problem
answer1110,did,something similar
my design,holds,ends of filament guide tubes
answer1111,'d recommend,extrusion temp
longer,promote,adhesion to layer
advice,is with,abs
advice,is in,mind
parts,will split on top of,poor layer adhesion
printer,very least move,printer
there could change,is in,temperature varying
looks,is,too thin
cura,specifying,shell thickness
cura,calculate for,you
mm shell,is,standard
user1112,can post,picture of project bottom
warping,could indicate,un-level bed
two,using,brackets
two,gauges on,side of toolhead
my preference,is,use
your bed,is,level
folks,call in,case
answer1112,'ve attached,version
disc,is in,xy
scale,keep,z constant
negative z-offset,found in,machine settings
thing,add,z-offset
might,need also,good part removal tool
z,offset,option
answer1113,use,cura version 17.10
most people,got,them
most people,ordered,10 mm hardened rods off ebay
user1114,do search here in,forums
user1114,do here,search
answer1116,have,taz 6 extruder
answer1116,have,maybe 1 mm clearance for z leveling screw
answer1116,doing,step 2
answer1117,did,tests
printing,is,important
your model,areas of,flat angles
user1117,will see,layer steps at last
user1117,need,lower
user1117,make hard,your layers
user1117,need,0.05 mm
vibration,is in,drive system
user1118,appear,you are talking just below main cpu on board
user1118,be in,correct plug spot with correct polarity
user1119,raise,your tool head
user1119,turning,silver coupler
user1119,go to,control
user1119,go to,configuration
one screen,click,store memory
user1119,once are done,please try
user1119,are,once done
user1119,must locate,4 allen head screws
user1119,once have located,them
8 allen head screws,4 on,side
re-tighten 4 allen head screws,connected to,z nut
user1119,once have,x carriage in middle of printer
z binding,is,decreased
nothing,do with,z-wobble
good information,has,nothing do
play,is in,x carriage
wobble,is from,z-nut
stepper,resolve,your issue
prints,obviously are getting,ruined
print,is with,filament
answer1120,attaching,big passive heatsink
answer1120,left alone,them
my first impulse,reduce,amperage
taz4 electronics,allow,adjustments
answer1121,get,next box doesnt light up
upgrade,went back to,flash firmware
upgrade,went back to,single head
havent,seen yet but maybe thats,display issue
cable,is,unplugged
cable,is unplugged,i print from sd
answer1122,same print,has failed twice now
answer1122,print from,my mac
answer1122,am running now,print
sd,reads,errors
sd,has,bad sectors
sort,is with,sd card
answer1123,reorientated,pictures above
answer1123,reorientated pictures for,clarification
bearings,is with,kind of teflon
one,are,bearings
answer1123,found,something
something,is with,google
extruder,is in,x direction
answer1123,will try in,next hours
time,is for,then comparison
answer1123,will print,square
my finger,should dampen,vibration
my finger,should dampen vibration,it comes from extruder
no real difference,is with,finger test
user1124,can hit speeds with,properly reinfroced taz
user1124,can hit,speeds
user1125,however can make,manual movements with glcd
movements,are allowed for,z axis
movements,are,allowed
selection knob,move axis in,millimeters
millimeters,is in,positive direction for negative direction
them,move,axis area
them,move axis area in,larger steps
flexistruder,are,beasts
user1126,use,different materials
flexistruder,is,ticket
answer1126,use,hexagon
user1126,have,taz 5
extruder,allows for,dual extrusion of similar filaments
user1126,'d have,flexidually
user1126,could print,flexistruders
printing,lower frame in,polycarbonate
people,is with,better success printing
answer1126,'ve read of,people with better success
stls,can,can found
